epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.591, 0.637, 0.4295, 0.7816, 0.5543, 0.3835, 0.8257
2, 1.262, 0.613, 0.4167, 0.8242, 0.5535, 0.3827, 0.8156
3, 1.222, 0.608, 0.4159, 0.8317, 0.5545, 0.3836, 0.8147
4, 1.217, 0.598, 0.4272, 0.8181, 0.5613, 0.3901, 0.8226
5, 1.203, 0.582, 0.4515, 0.7857, 0.5734, 0.4020, 0.8379
6, 1.199, 0.604, 0.4925, 0.7166, 0.5838, 0.4122, 0.8583
7, 1.189, 0.573, 0.4913, 0.7167, 0.5830, 0.4114, 0.8578
8, 1.180, 0.567, 0.4630, 0.7769, 0.5802, 0.4087, 0.8441
9, 1.172, 0.565, 0.4640, 0.7753, 0.5806, 0.4090, 0.8446
10, 1.166, 0.564, 0.4815, 0.7440, 0.5846, 0.4130, 0.8534
11, 1.166, 0.620, 0.4054, 0.8663, 0.5523, 0.3815, 0.8052
12, 1.166, 0.579, 0.4925, 0.7289, 0.5878, 0.4162, 0.8582
13, 1.165, 0.557, 0.4728, 0.7655, 0.5845, 0.4130, 0.8491
14, 1.161, 0.563, 0.4493, 0.8065, 0.5771, 0.4056, 0.8361
15, 1.152, 0.548, 0.4607, 0.7889, 0.5817, 0.4101, 0.8427
16, 1.150, 0.554, 0.4790, 0.7518, 0.5851, 0.4136, 0.8522
17, 1.141, 0.553, 0.4414, 0.8257, 0.5753, 0.4038, 0.8309
18, 1.150, 0.553, 0.5313, 0.6991, 0.6038, 0.4324, 0.8727
19, 1.144, 0.548, 0.4847, 0.7559, 0.5907, 0.4191, 0.8547
20, 1.138, 0.546, 0.4925, 0.7482, 0.5940, 0.4224, 0.8581
21, 1.149, 0.546, 0.4469, 0.8213, 0.5788, 0.4073, 0.8342
22, 1.149, 0.559, 0.5440, 0.6522, 0.5932, 0.4217, 0.8759
23, 1.149, 0.572, 0.4966, 0.7339, 0.5923, 0.4208, 0.8599
24, 1.138, 0.565, 0.4498, 0.8131, 0.5792, 0.4076, 0.8361
25, 1.139, 0.530, 0.4671, 0.7986, 0.5894, 0.4178, 0.8457
26, 1.132, 0.537, 0.4525, 0.8145, 0.5818, 0.4102, 0.8376
27, 1.132, 0.540, 0.4468, 0.8224, 0.5791, 0.4075, 0.8342
28, 1.127, 0.537, 0.4503, 0.8217, 0.5818, 0.4102, 0.8362
29, 1.128, 0.561, 0.4552, 0.8091, 0.5827, 0.4111, 0.8393
30, 1.135, 0.543, 0.4471, 0.8265, 0.5803, 0.4088, 0.8342
31, 1.118, 0.524, 0.4655, 0.8079, 0.5906, 0.4191, 0.8447
32, 1.126, 0.532, 0.5287, 0.7361, 0.6154, 0.4444, 0.8724
33, 1.122, 0.535, 0.4958, 0.7551, 0.5986, 0.4271, 0.8595
34, 1.133, 0.548, 0.5024, 0.7516, 0.6022, 0.4308, 0.8623
35, 1.114, 0.537, 0.4370, 0.8503, 0.5773, 0.4058, 0.8273
36, 1.155, 0.550, 0.4446, 0.8241, 0.5776, 0.4061, 0.8329
37, 1.124, 0.537, 0.4817, 0.7648, 0.5911, 0.4195, 0.8532
38, 1.121, 0.524, 0.4689, 0.8043, 0.5924, 0.4209, 0.8465
39, 1.117, 0.545, 0.4349, 0.8491, 0.5752, 0.4037, 0.8261
40, 1.112, 0.531, 0.4430, 0.8400, 0.5801, 0.4085, 0.8313
